LOC/COUNT: 11 | EXTRACTED SUB30: 21.84 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-55,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,19489194,0,37,0,0,19.8722,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 -17 -9 -16 -11 -18 -9 -17 -9 -19 -7 -17 -8 -18 -7 -18 -8 -19 -6 -20 -7 -21 -6 -21 -6 -21 -7 -20 -6 -18 -9 -22 -7 -18 -8 -20 -6 -18 -7 -19 -6 -19 -8 -20 -6 -20 -6 -20 -6 -21 -6 -20 0 0 -8 -19 -9 -21 -9 -18 -11 -20 -9 -17 -10 -19 -10 -19 -9 -18 -11 -18 -9 -21 -10 -20 -9 -18 -11 -18 -9 -17 -12 -20 -11 -18 -13 -20 -11 -17 -11 -18 -12 -17 -11 -18 -13 -17 -12 -19 -12 -18 -12 -17 -12 -16 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 12 | EXTRACTED SUB30: 17.46 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-63,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19489492,0,84,0,0,19.9114,384,[84 -64 4 0 0 0 0 0 0 0 0 0 15 2 15 1 19 4 16 3 17 5 14 2 17 3 15 4 18 5 16 6 16 6 16 6 17 7 16 7 15 6 18 6 16 7 17 7 16 7 17 7 17 7 17 6 17 7 16 8 16 7 16 7 0 0 16 6 18 6 17 5 18 5 16 5 17 4 18 5 16 5 18 3 19 4 18 4 18 5 17 4 17 3 19 2 17 2 19 3 18 2 18 1 18 0 18 1 18 1 19 2 19 2 18 1 18 1 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 13 | EXTRACTED SUB30: 21.26 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-55,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,19492471,0,37,0,0,19.9469,128,[37 80 2 0 0 0 0 0 0 0 0 0 -8 16 -8 15 -10 17 -10 16 -10 17 -10 15 -11 16 -12 15 -12 16 -13 16 -13 16 -13 16 -14 16 -13 16 -12 14 -15 17 -13 15 -13 15 -13 14 -13 15 -13 14 -14 15 -13 14 -13 15 -14 16 -14 15 0 0 -13 16 -14 17 -13 16 -13 17 -11 15 -13 16 -13 16 -12 15 -11 17 -13 16 -13 17 -11 16 -11 18 -12 16 -13 18 -12 17 -12 19 -11 16 -12 17 -11 17 -12 17 -11 18 -11 18 -11 18 -10 17 -9 17 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 14 | EXTRACTED SUB30: 18.97 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-63,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19541829,0,84,0,0,19.9912,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -17 -1 -17 1 -17 1 -17 1 -17 2 -17 2 -17 3 -17 2 -17 3 -18 4 -18 4 -18 5 -18 4 -19 5 -17 5 -19 5 -18 5 -17 5 -17 6 -17 6 -19 6 -18 6 -17 6 -18 6 -18 6 -18 0 0 6 -17 5 -18 5 -18 5 -18 5 -17 5 -18 5 -18 5 -18 5 -18 4 -18 4 -18 4 -17 4 -18 3 -17 3 -18 2 -18 4 -19 3 -19 3 -18 2 -18 3 -18 2 -18 2 -18 2 -19 2 -18 2 -18 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 15 | EXTRACTED SUB30: 14.14 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-64,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19634532,0,84,0,0,20.0316,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -5 13 -3 15 -4 14 -3 14 -3 14 -2 14 -3 15 -2 15 -1 14 -1 15 -1 14 -1 15 -1 14 0 14 0 15 0 14 0 14 1 13 0 15 1 15 1 15 1 14 1 14 1 14 2 15 0 0 0 15 1 15 1 14 1 15 0 14 0 15 1 14 0 13 0 13 0 14 -1 13 -1 13 -1 13 -1 13 -1 14 -1 13 -2 14 -1 13 -2 13 -2 14 -2 13 -2 14 -2 13 -1 14 -2 13 -3 13 -2 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 16 | EXTRACTED SUB30: 13.04 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-64,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19634973,0,84,0,0,20.0696,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 12 -3 12 -2 12 -3 12 -3 12 -3 13 -4 12 -3 13 -4 13 -4 12 -5 11 -5 12 -5 12 -6 12 -6 12 -6 12 -7 12 -6 12 -6 12 -7 12 -6 11 -6 11 -6 11 -7 10 -7 11 -6 12 0 0 -6 12 -6 11 -7 12 -5 11 -6 10 -5 11 -6 11 -5 11 -5 12 -4 11 -4 11 -5 11 -5 11 -5 12 -5 11 -4 11 -4 12 -4 11 -4 12 -4 12 -4 12 -4 12 -4 11 -3 12 -3 11 -3 12 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 17 | EXTRACTED SUB30: 18.87 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-56,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,19723098,0,84,0,0,20.1129,128,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -13 12 -12 14 -13 12 -14 14 -13 13 -11 14 -11 14 -11 15 -12 14 -11 15 -11 16 -11 16 -10 16 -11 15 -9 17 -11 15 -9 15 -10 14 -9 15 -10 14 -9 16 -10 14 -9 15 -9 16 -10 15 -9 0 0 14 -10 15 -10 14 -9 14 -11 12 -9 14 -10 13 -10 13 -10 13 -11 13 -10 13 -11 12 -10 12 -10 12 -9 13 -11 12 -10 13 -12 11 -10 11 -10 11 -11 11 -10 11 -11 11 -11 11 -11 10 -11 9 -10 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 18 | EXTRACTED SUB30: 24.84 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-65,11,1,7,1,1,1,1,0,0,1,-96,1,6,1,19814036,0,84,0,0,20.1971,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 21 -14 20 -16 21 -16 21 -17 21 -16 19 -17 20 -17 19 -17 20 -20 20 -19 19 -20 19 -20 18 -20 17 -18 18 -20 19 -18 17 -19 18 -18 17 -19 16 -18 16 -18 17 -18 15 -19 15 -19 16 -17 16 0 0 -16 16 -16 17 -15 16 -15 16 -14 15 -14 16 -14 15 -13 16 -13 16 -13 15 -13 16 -13 15 -12 15 -11 15 -11 16 -10 16 -11 16 -9 16 -10 16 -9 16 -9 16 -8 16 -9 15 -7 16 -8 14 -7 14 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 19 | EXTRACTED SUB30: 26.25 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-61,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,19921886,0,84,0,0,20.3048,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 -25 18 -25 20 -25 20 -25 21 -25 21 -24 20 -24 20 -23 22 -23 22 -22 22 -22 23 -22 23 -21 23 -21 22 -20 23 -20 22 -20 22 -19 21 -18 21 -19 20 -18 20 -18 20 -18 20 -17 20 -17 18 -18 0 0 17 -17 17 -17 17 -17 16 -17 15 -16 14 -17 14 -17 12 -17 13 -17 12 -18 11 -17 11 -17 10 -17 9 -17 9 -17 8 -17 8 -17 7 -16 6 -16 6 -15 6 -15 5 -16 5 -15 4 -15 4 -14 4 -14 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 20 | EXTRACTED SUB30: 22.02 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-61,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,19998797,0,84,0,0,20.3817,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 26 8 26 8 27 7 27 7 27 5 27 5 27 5 27 4 27 3 27 4 27 3 27 3 27 2 27 1 26 2 27 2 25 2 24 1 24 2 24 1 23 1 23 1 22 1 22 1 22 2 22 0 0 2 21 3 21 3 21 4 19 3 18 4 18 3 18 4 17 5 17 5 16 6 16 5 15 6 15 6 14 7 13 7 13 7 13 7 12 7 13 7 11 7 11 7 11 7 10 8 9 7 9 7 8 0 0 0 0 0 0 0 0 0 0 ]
